ID_TRANSACCION;ID_CLIENTE;TIPO_TRANSACCION;MONTO;CANAL;COMERCIO_CONTRAPARTE;FECHA
5128;2;PAGO_NOMINA;1370206;SUCURSAL;PROVEEDOR_ABC;2025-04-24
5129;28;PAGO_SERVICIO;-313646;WEB;UBER;2025-02-20
5130;1;PAGO_NOMINA;1489673;APP_MOVIL;JUAN_PEREZ;2025-04-27
5131;28;PAGO_NOMINA;1040375;APP_MOVIL;EMPRESA_X;2025-07-12
5132;5;COMPRA_COMERCIO;-340744;WEB;AMAZON;2025-06-13
5133;30;GIRO_CAJERO;-725170;ATM;NETFLIX;2025-08-11
5134;13;PAGO_NOMINA;1546218;APP_MOVIL;EMPRESA_X;2025-04-16
5135;25;GIRO_CAJERO;-65045;ATM;FALABELLA;2025-04-07
5136;11;TRANSFERENCIA_ENVIADA;-455610;SUCURSAL;UBER;2025-10-07
5137;24;DEPOSITO;2448625;WEB;MARIA_GONZALEZ;2025-12-07
5138;28;PAGO_SERVICIO;-559815;ATM;ENEL;2025-07-28
5139;30;GIRO_CAJERO;-517292;ATM;AGUAS_ANDINAS;2025-10-19
5140;23;TRANSFERENCIA_ENVIADA;-253415;WEB;AGUAS_ANDINAS;2025-11-07
5141;1;PAGO_SERVICIO;-70902;WEB;AMAZON;2025-02-06
5142;21;GIRO_CAJERO;-510289;APP_MOVIL;UBER;2025-10-28
5143;25;PAGO_SERVICIO;-706641;ATM;AMAZON;2025-05-03
5144;14;GIRO_CAJERO;-643124;APP_MOVIL;AGUAS_ANDINAS;2025-04-27
5145;10;COMPRA_COMERCIO;-375446;APP_MOVIL;SHELL;2025-08-25
5146;30;PAGO_SERVICIO;-671212;SUCURSAL;FALABELLA;2025-12-08
5147;2;PAGO_SERVICIO;-192359;WEB;ENEL;2025-01-19
5148;27;TRANSFERENCIA_ENVIADA;-224387;APP_MOVIL;AMAZON;2025-01-10
5149;24;GIRO_CAJERO;-298806;ATM;MOVISTAR;2025-09-21
5150;29;PAGO_SERVICIO;-425167;WEB;MOVISTAR;2025-09-20
5151;20;PAGO_NOMINA;810055;APP_MOVIL;PROVEEDOR_ABC;2025-06-09
5152;30;PAGO_NOMINA;1238361;ATM;MARIA_GONZALEZ;2025-03-18
5153;11;GIRO_CAJERO;-461773;WEB;UBER;2025-11-17
5154;7;TRANSFERENCIA_RECIBIDA;1441166;ATM;EMPRESA_X;2025-08-24
5155;23;COMPRA_COMERCIO;-121192;APP_MOVIL;AMAZON;2025-03-05
5156;17;TRANSFERENCIA_ENVIADA;-116732;SUCURSAL;SUPERMERCADO_LIDER;2025-07-20
5157;18;TRANSFERENCIA_RECIBIDA;1272975;ATM;PROVEEDOR_ABC;2025-08-24
5158;10;COMPRA_COMERCIO;-642226;WEB;MOVISTAR;2025-11-22
5159;11;TRANSFERENCIA_RECIBIDA;1764603;APP_MOVIL;EMPRESA_X;2025-07-12
5160;27;TRANSFERENCIA_ENVIADA;-213084;WEB;NETFLIX;2025-10-11
5161;12;PAGO_SERVICIO;-287890;ATM;ENEL;2025-04-15
5162;14;COMPRA_COMERCIO;-240222;SUCURSAL;NETFLIX;2025-05-18
5163;13;DEPOSITO;2179822;SUCURSAL;CLIENTE_123;2025-07-14
5164;2;DEPOSITO;2355581;WEB;JUAN_PEREZ;2025-07-24
5165;26;PAGO_SERVICIO;-400764;WEB;AMAZON;2025-11-12
5166;9;TRANSFERENCIA_RECIBIDA;2411515;ATM;BANCO_ESTADO;2025-04-12
5167;26;COMPRA_COMERCIO;-243238;ATM;COPEC;2025-11-12
5168;1;GIRO_CAJERO;-355220;WEB;SHELL;2025-11-18
5169;2;PAGO_NOMINA;783792;SUCURSAL;BANCO_CHILE;2025-01-13
5170;13;PAGO_NOMINA;493908;APP_MOVIL;BANCO_ESTADO;2025-09-07
5171;16;GIRO_CAJERO;-617825;APP_MOVIL;UBER;2025-03-15
5172;30;GIRO_CAJERO;-166820;APP_MOVIL;AMAZON;2025-09-20
5173;17;COMPRA_COMERCIO;-577456;ATM;COPEC;2025-02-15
5174;24;TRANSFERENCIA_ENVIADA;-601655;SUCURSAL;AGUAS_ANDINAS;2025-04-02
5175;28;TRANSFERENCIA_ENVIADA;-379793;SUCURSAL;MOVISTAR;2025-09-19
5176;17;COMPRA_COMERCIO;-717123;SUCURSAL;SUPERMERCADO_LIDER;2025-05-21
5177;28;PAGO_NOMINA;805382;WEB;BANCO_CHILE;2025-01-02
5178;8;COMPRA_COMERCIO;-464228;APP_MOVIL;COPEC;2025-07-03
5179;23;COMPRA_COMERCIO;-785235;SUCURSAL;ENEL;2025-04-12
5180;6;DEPOSITO;329882;APP_MOVIL;JUAN_PEREZ;2025-01-26
5181;17;GIRO_CAJERO;-23724;ATM;SHELL;2025-02-13
5182;22;TRANSFERENCIA_ENVIADA;-317873;WEB;SHELL;2025-05-13
5183;18;TRANSFERENCIA_RECIBIDA;1935070;WEB;EMPRESA_Y;2025-06-23
5184;25;COMPRA_COMERCIO;-519142;SUCURSAL;FALABELLA;2025-01-09
5185;21;PAGO_NOMINA;2365289;WEB;MARIA_GONZALEZ;2025-12-16
5186;22;TRANSFERENCIA_ENVIADA;-174982;WEB;MOVISTAR;2025-03-03
5187;18;PAGO_SERVICIO;-667815;WEB;MOVISTAR;2025-06-26
5188;29;TRANSFERENCIA_RECIBIDA;984719;SUCURSAL;CLIENTE_123;2025-12-18
5189;3;TRANSFERENCIA_ENVIADA;-723614;ATM;SHELL;2025-10-03
5190;24;PAGO_SERVICIO;-462148;APP_MOVIL;NETFLIX;2025-11-27
5191;16;COMPRA_COMERCIO;-609767;WEB;MOVISTAR;2025-04-12
5192;3;DEPOSITO;1107914;SUCURSAL;EMPRESA_Y;2025-08-05
5193;14;TRANSFERENCIA_ENVIADA;-321602;ATM;MOVISTAR;2025-11-08
5194;24;PAGO_SERVICIO;-233796;SUCURSAL;NETFLIX;2025-04-03
5195;17;COMPRA_COMERCIO;-429609;APP_MOVIL;SHELL;2025-09-06
5196;25;PAGO_SERVICIO;-582561;WEB;SUPERMERCADO_LIDER;2025-04-20
5197;19;GIRO_CAJERO;-614015;ATM;NETFLIX;2025-04-04
5198;5;DEPOSITO;2008966;SUCURSAL;BANCO_ESTADO;2025-05-10
5199;9;TRANSFERENCIA_ENVIADA;-267963;APP_MOVIL;SUPERMERCADO_LIDER;2025-10-19
5200;30;COMPRA_COMERCIO;-158577;SUCURSAL;MOVISTAR;2025-01-02
5201;13;PAGO_NOMINA;1530741;APP_MOVIL;BANCO_CHILE;2025-08-11
5202;15;GIRO_CAJERO;-576554;APP_MOVIL;SUPERMERCADO_LIDER;2025-10-02
5203;13;PAGO_NOMINA;660171;WEB;JUAN_PEREZ;2025-02-05
5204;28;TRANSFERENCIA_ENVIADA;-404479;ATM;COPEC;2025-04-22
5205;24;PAGO_SERVICIO;-559287;ATM;AGUAS_ANDINAS;2025-08-03
5206;7;GIRO_CAJERO;-38005;ATM;AGUAS_ANDINAS;2025-08-16
5207;13;PAGO_SERVICIO;-619886;ATM;MOVISTAR;2025-03-19
5208;21;PAGO_SERVICIO;-481332;WEB;MOVISTAR;2025-01-03
5209;26;PAGO_NOMINA;677293;APP_MOVIL;BANCO_CHILE;2025-03-05
5210;27;COMPRA_COMERCIO;-495131;WEB;MOVISTAR;2025-01-11
5211;30;PAGO_SERVICIO;-616499;WEB;UBER;2025-05-21
5212;27;DEPOSITO;1317547;WEB;BANCO_ESTADO;2025-03-01
5213;5;GIRO_CAJERO;-412309;SUCURSAL;MOVISTAR;2025-07-27
5214;16;COMPRA_COMERCIO;-462556;SUCURSAL;SHELL;2025-11-18
5215;21;TRANSFERENCIA_ENVIADA;-754820;ATM;MOVISTAR;2025-12-11
5216;11;PAGO_SERVICIO;-448421;WEB;AMAZON;2025-03-18
5217;25;TRANSFERENCIA_ENVIADA;-258485;ATM;MOVISTAR;2025-10-05
5218;27;TRANSFERENCIA_ENVIADA;-726601;APP_MOVIL;COPEC;2025-02-16
5219;13;PAGO_SERVICIO;-373055;APP_MOVIL;AGUAS_ANDINAS;2025-03-25
5220;11;PAGO_NOMINA;1177864;ATM;EMPRESA_X;2025-04-25
5221;27;PAGO_NOMINA;2042654;ATM;EMPRESA_X;2025-03-26
5222;26;PAGO_NOMINA;895810;ATM;EMPRESA_X;2025-03-08
5223;20;TRANSFERENCIA_ENVIADA;-74501;SUCURSAL;AGUAS_ANDINAS;2025-07-18
5224;24;TRANSFERENCIA_ENVIADA;-269404;SUCURSAL;UBER;2025-07-14
5225;4;PAGO_SERVICIO;-114569;APP_MOVIL;AGUAS_ANDINAS;2025-08-22
5226;13;PAGO_SERVICIO;-322715;SUCURSAL;SHELL;2025-04-16
5227;7;DEPOSITO;2145247;APP_MOVIL;MARIA_GONZALEZ;2025-12-27
5228;20;COMPRA_COMERCIO;-289611;APP_MOVIL;SHELL;2025-05-17
5229;17;TRANSFERENCIA_ENVIADA;-180702;SUCURSAL;ENEL;2025-09-08
5230;3;TRANSFERENCIA_RECIBIDA;2287806;ATM;CLIENTE_123;2025-12-12
5231;23;GIRO_CAJERO;-736047;ATM;FALABELLA;2025-12-20
5232;25;PAGO_NOMINA;2445143;ATM;MARIA_GONZALEZ;2025-10-12
5233;7;TRANSFERENCIA_RECIBIDA;1470053;SUCURSAL;BANCO_ESTADO;2025-05-05
5234;17;COMPRA_COMERCIO;-593573;APP_MOVIL;UBER;2025-09-08
5235;29;TRANSFERENCIA_ENVIADA;-138973;ATM;COPEC;2025-01-25
5236;11;TRANSFERENCIA_ENVIADA;-26654;APP_MOVIL;MOVISTAR;2025-11-25
5237;17;TRANSFERENCIA_RECIBIDA;1868521;APP_MOVIL;EMPRESA_X;2025-04-11
5238;5;GIRO_CAJERO;-199980;WEB;ENEL;2025-12-02
5239;12;TRANSFERENCIA_ENVIADA;-580464;SUCURSAL;ENEL;2025-11-22
5240;16;TRANSFERENCIA_RECIBIDA;1818490;APP_MOVIL;PROVEEDOR_ABC;2025-04-07
5241;11;PAGO_SERVICIO;-114145;APP_MOVIL;ENEL;2025-10-02
5242;3;COMPRA_COMERCIO;-234577;WEB;COPEC;2025-10-17
5243;22;TRANSFERENCIA_RECIBIDA;266943;WEB;EMPRESA_Y;2025-12-16
5244;16;TRANSFERENCIA_ENVIADA;-227849;SUCURSAL;NETFLIX;2025-10-04
5245;15;GIRO_CAJERO;-634571;ATM;NETFLIX;2025-08-15
5246;7;GIRO_CAJERO;-292983;ATM;MOVISTAR;2025-07-24
5247;16;COMPRA_COMERCIO;-377384;SUCURSAL;MOVISTAR;2025-08-16
5248;26;GIRO_CAJERO;-694669;WEB;UBER;2025-08-06
5249;6;GIRO_CAJERO;-36948;APP_MOVIL;NETFLIX;2025-06-16
5250;17;GIRO_CAJERO;-68958;SUCURSAL;NETFLIX;2025-01-13
5251;27;COMPRA_COMERCIO;-722617;SUCURSAL;SHELL;2025-11-06
5252;19;DEPOSITO;2142270;WEB;CLIENTE_123;2025-05-12
5253;6;GIRO_CAJERO;-621951;SUCURSAL;ENEL;2025-01-08
5254;18;DEPOSITO;319313;SUCURSAL;BANCO_CHILE;2025-07-09
5255;28;PAGO_NOMINA;1251702;ATM;EMPRESA_X;2025-12-27
5256;18;PAGO_NOMINA;741592;ATM;JUAN_PEREZ;2025-09-21
5257;15;PAGO_NOMINA;103060;APP_MOVIL;BANCO_ESTADO;2025-07-04
5258;13;PAGO_SERVICIO;-82440;ATM;AMAZON;2025-10-11
5259;6;GIRO_CAJERO;-11631;SUCURSAL;MOVISTAR;2025-03-21
5260;17;DEPOSITO;1779743;APP_MOVIL;EMPRESA_X;2025-10-09
5261;20;GIRO_CAJERO;-517949;SUCURSAL;COPEC;2025-06-11
5262;13;GIRO_CAJERO;-23503;ATM;UBER;2025-05-14
5263;30;GIRO_CAJERO;-773395;APP_MOVIL;SHELL;2025-01-08
5264;7;PAGO_NOMINA;217290;ATM;CLIENTE_123;2025-06-05
5265;7;TRANSFERENCIA_ENVIADA;-182905;APP_MOVIL;COPEC;2025-12-22
5266;21;TRANSFERENCIA_ENVIADA;-391164;ATM;UBER;2025-06-12
5267;22;PAGO_NOMINA;111650;WEB;EMPRESA_Y;2025-10-12
5268;6;COMPRA_COMERCIO;-790533;APP_MOVIL;AGUAS_ANDINAS;2025-11-10
5269;7;COMPRA_COMERCIO;-429303;WEB;NETFLIX;2025-08-23
5270;9;TRANSFERENCIA_ENVIADA;-794892;WEB;ENEL;2025-01-08
5271;9;COMPRA_COMERCIO;-748961;SUCURSAL;MOVISTAR;2025-03-21
5272;1;DEPOSITO;2381821;ATM;CLIENTE_123;2025-05-25
5273;27;COMPRA_COMERCIO;-309532;ATM;ENEL;2025-03-13
5274;13;TRANSFERENCIA_RECIBIDA;519022;WEB;MARIA_GONZALEZ;2025-03-03
5275;27;TRANSFERENCIA_RECIBIDA;578434;WEB;EMPRESA_X;2025-06-22
5276;11;GIRO_CAJERO;-607851;SUCURSAL;AGUAS_ANDINAS;2025-11-22
5277;5;TRANSFERENCIA_ENVIADA;-176603;ATM;COPEC;2025-03-25
5278;8;DEPOSITO;1143713;APP_MOVIL;EMPRESA_Y;2025-09-05
5279;27;DEPOSITO;903901;ATM;BANCO_ESTADO;2025-05-22
5280;15;PAGO_SERVICIO;-738370;ATM;COPEC;2025-10-17
5281;8;PAGO_NOMINA;1466014;ATM;PROVEEDOR_ABC;2025-05-06
5282;3;PAGO_NOMINA;1218237;APP_MOVIL;BANCO_CHILE;2025-03-06
5283;14;TRANSFERENCIA_ENVIADA;-313435;APP_MOVIL;FALABELLA;2025-07-04
5284;22;GIRO_CAJERO;-319666;WEB;FALABELLA;2025-06-17
5285;17;TRANSFERENCIA_ENVIADA;-685240;WEB;ENEL;2025-10-08
5286;4;PAGO_SERVICIO;-447975;ATM;SUPERMERCADO_LIDER;2025-06-09
5287;28;PAGO_NOMINA;1539215;APP_MOVIL;BANCO_CHILE;2025-05-24
5288;27;PAGO_SERVICIO;-647363;ATM;AMAZON;2025-12-26
5289;8;DEPOSITO;1035362;APP_MOVIL;MARIA_GONZALEZ;2025-04-22
5290;26;DEPOSITO;1856294;ATM;EMPRESA_Y;2025-02-04
5291;8;DEPOSITO;2092592;SUCURSAL;BANCO_CHILE;2025-07-19
5292;10;COMPRA_COMERCIO;-575790;WEB;COPEC;2025-09-04
5293;20;DEPOSITO;1635465;APP_MOVIL;MARIA_GONZALEZ;2025-09-25
5294;4;DEPOSITO;795385;SUCURSAL;MARIA_GONZALEZ;2025-11-16
5295;3;PAGO_NOMINA;1180256;ATM;BANCO_CHILE;2025-07-11
5296;27;GIRO_CAJERO;-422511;ATM;COPEC;2025-08-12
5297;19;PAGO_NOMINA;2400102;APP_MOVIL;PROVEEDOR_ABC;2025-01-06
5298;15;PAGO_NOMINA;1760006;WEB;JUAN_PEREZ;2025-06-08
5299;17;PAGO_NOMINA;1558452;WEB;BANCO_CHILE;2025-05-13
5300;9;GIRO_CAJERO;-589606;SUCURSAL;COPEC;2025-08-08
5301;16;TRANSFERENCIA_ENVIADA;-722409;SUCURSAL;AMAZON;2025-06-05
5302;24;PAGO_NOMINA;256441;SUCURSAL;PROVEEDOR_ABC;2025-12-18
5303;10;PAGO_SERVICIO;-48891;WEB;NETFLIX;2025-11-16
5304;10;DEPOSITO;2384399;WEB;BANCO_CHILE;2025-07-12
5305;11;PAGO_SERVICIO;-288320;SUCURSAL;NETFLIX;2025-03-14
5306;11;PAGO_SERVICIO;-452491;ATM;ENEL;2025-01-20
5307;18;PAGO_SERVICIO;-554622;SUCURSAL;AMAZON;2025-05-04
5308;7;COMPRA_COMERCIO;-263999;ATM;AGUAS_ANDINAS;2025-12-17
5309;1;GIRO_CAJERO;-311298;WEB;AGUAS_ANDINAS;2025-12-01
5310;14;COMPRA_COMERCIO;-240488;WEB;ENEL;2025-09-11
5311;28;COMPRA_COMERCIO;-321886;APP_MOVIL;ENEL;2025-03-10
5312;17;TRANSFERENCIA_ENVIADA;-76063;ATM;UBER;2025-10-26
5313;2;DEPOSITO;66182;SUCURSAL;JUAN_PEREZ;2025-07-26
5314;25;TRANSFERENCIA_RECIBIDA;1858163;SUCURSAL;BANCO_CHILE;2025-07-18
5315;28;TRANSFERENCIA_RECIBIDA;895081;SUCURSAL;MARIA_GONZALEZ;2025-03-01
5316;26;GIRO_CAJERO;-647595;WEB;ENEL;2025-12-04
5317;14;DEPOSITO;370547;ATM;EMPRESA_Y;2025-09-26
