ID_TRANSACCION;ID_CLIENTE;MONTO;GEOLOCATION;DISPOSITIVO;FECHA
4093;3;259990;-33.5100 -70.7600;Tablet;2025-09-09
4094;4;159990;-38.7359 -72.5904;Mobile;2025-10-10
4095;5;159990;-33.0472 -71.6127;Tablet;2025-11-11
4096;6;89990;-33.0245 -71.5518;Mobile;2025-12-12
4097;7;259990;-34.1708 -70.7444;Laptop;2025-01-13
4098;8;89990;-23.6509 -70.3975;Desktop;2025-02-14
4099;9;129990;-29.9027 -71.2519;Mobile;2025-03-15
4100;10;23990;-36.8201 -73.0444;Laptop;2025-04-16
4101;11;9990;-33.4380 -70.6512;Laptop;2025-05-17
4102;12;18990;-33.4172 -70.5981;Tablet;2025-06-18
4103;13;34990;-33.5120 -70.7585;Mobile;2025-07-19
4104;14;45990;-33.4365 -70.6480;Tablet;2025-08-20
4105;15;89990;-33.4150 -70.5968;Mobile;2025-09-21
4106;16;55990;-33.5095 -70.7612;Tablet;2025-10-22
4107;17;259990;-38.7365 -72.5898;Desktop;2025-11-23
4108;18;55990;-33.0485 -71.6100;Laptop;2025-12-24
4109;19;65990;-33.0238 -71.5525;Mobile;2025-01-25
4110;20;89990;-34.1715 -70.7438;Mobile;2025-02-26
4111;21;159990;-23.6498 -70.3962;Laptop;2025-03-27
4112;22;55990;-29.9035 -71.2508;Mobile;2025-04-28
4113;23;89990;-36.8215 -73.0435;Laptop;2025-05-01
4114;24;75990;-33.4378 -70.6495;Desktop;2025-06-02
4115;25;259990;-33.4165 -70.5990;Tablet;2025-07-03
4116;26;159990;-33.5112 -70.7598;Tablet;2025-08-04
4117;27;9990;-38.7370 -72.5915;Mobile;2025-09-05
4118;28;23990;-33.0478 -71.6135;Tablet;2025-10-06
4119;29;23990;-33.0252 -71.5509;Desktop;2025-11-07
4120;30;45990;-34.1720 -70.7425;Laptop;2025-12-08
4121;1;259990;-33.4372 -70.6506;Tablet;2025-01-09
4122;2;259990;-33.4160 -70.5975;Mobile;2025-02-10
4123;3;18990;-33.5100 -70.7600;Mobile;2025-03-11
4124;4;9990;-38.7359 -72.5904;Laptop;2025-04-12
4125;5;9990;-33.0472 -71.6127;Laptop;2025-05-13
4126;6;9990;-33.0245 -71.5518;Laptop;2025-06-14
4127;7;259990;-34.1708 -70.7444;Tablet;2025-07-15
4128;8;129990;-23.6509 -70.3975;Mobile;2025-08-16
4129;9;9990;-29.9027 -71.2519;Desktop;2025-09-17
4130;10;45990;-36.8201 -73.0444;Tablet;2025-10-18
4131;11;34990;-33.4380 -70.6512;Laptop;2025-11-19
4132;12;89990;-33.4172 -70.5981;Laptop;2025-12-20
4133;13;34990;-33.5120 -70.7585;Mobile;2025-01-21
4134;14;18990;-33.4365 -70.6480;Desktop;2025-02-22
4135;15;75990;-33.4150 -70.5968;Tablet;2025-03-23
4136;16;75990;-33.5095 -70.7612;Mobile;2025-04-24
4137;17;18990;-38.7365 -72.5898;Laptop;2025-05-25
4138;18;18990;-33.0485 -71.6100;Tablet;2025-06-26
4139;19;9990;-33.0238 -71.5525;Mobile;2025-07-27
4140;20;75990;-34.1715 -70.7438;Tablet;2025-08-28
4141;21;129990;-23.6498 -70.3962;Mobile;2025-09-01
4142;22;159990;-29.9035 -71.2508;Mobile;2025-10-02
4143;23;259990;-36.8215 -73.0435;Desktop;2025-11-03
4144;24;75990;-33.4378 -70.6495;Tablet;2025-12-04
4145;25;55990;-33.4165 -70.5990;Tablet;2025-01-05
4146;26;259990;-33.5112 -70.7598;Desktop;2025-02-06
4147;27;65990;-38.7370 -72.5915;Mobile;2025-03-07
4148;28;75990;-33.0478 -71.6135;Mobile;2025-04-08
4149;29;259990;-33.0252 -71.5509;Mobile;2025-05-09
4150;30;65990;-34.1720 -70.7425;Desktop;2025-06-10
4151;1;259990;-33.4372 -70.6506;Tablet;2025-07-11
4152;2;18990;-33.4160 -70.5975;Mobile;2025-08-12
4153;3;45990;-33.5100 -70.7600;Mobile;2025-09-13
4154;4;9990;-38.7359 -72.5904;Tablet;2025-10-14
4155;5;34990;-33.0472 -71.6127;Desktop;2025-11-15
4156;6;55990;-33.0245 -71.5518;Desktop;2025-12-16
4157;7;55990;-34.1708 -70.7444;Desktop;2025-01-17
4158;8;259990;-23.6509 -70.3975;Desktop;2025-02-18
4159;9;34990;-29.9027 -71.2519;Desktop;2025-03-19
4160;10;9990;-36.8201 -73.0444;Desktop;2025-04-20
4161;11;159990;-33.4380 -70.6512;Tablet;2025-05-21
4162;12;9990;-33.4172 -70.5981;Laptop;2025-06-22
4163;13;89990;-33.5120 -70.7585;Mobile;2025-07-23
4164;14;18990;-33.4365 -70.6480;Mobile;2025-08-24
4165;15;45990;-33.4150 -70.5968;Desktop;2025-09-25
4166;16;23990;-33.5095 -70.7612;Laptop;2025-10-26
4167;17;129990;-38.7365 -72.5898;Desktop;2025-11-27
4168;18;55990;-33.0485 -71.6100;Laptop;2025-12-28
4169;19;75990;-33.0238 -71.5525;Desktop;2025-01-01
4170;20;55990;-34.1715 -70.7438;Tablet;2025-02-02
4171;21;45990;-23.6498 -70.3962;Desktop;2025-03-03
4172;22;23990;-29.9035 -71.2508;Laptop;2025-04-04
4173;23;65990;-36.8215 -73.0435;Desktop;2025-05-05
4174;24;18990;-33.4378 -70.6495;Tablet;2025-06-06
4175;25;129990;-33.4165 -70.5990;Tablet;2025-07-07
4176;26;9990;-33.5112 -70.7598;Tablet;2025-08-08
4177;27;75990;-38.7370 -72.5915;Desktop;2025-09-09
4178;28;18990;-33.0478 -71.6135;Tablet;2025-10-10
4179;29;75990;-33.0252 -71.5509;Mobile;2025-11-11
4180;30;9990;-34.1720 -70.7425;Laptop;2025-12-12
4181;1;23990;-33.4372 -70.6506;Laptop;2025-01-13
4182;2;89990;-33.4160 -70.5975;Tablet;2025-02-14
4183;3;18990;-33.5100 -70.7600;Desktop;2025-03-15
4184;4;159990;-38.7359 -72.5904;Desktop;2025-04-16
4185;5;45990;-33.0472 -71.6127;Tablet;2025-05-17
4186;6;75990;-33.0245 -71.5518;Tablet;2025-06-18
4187;7;129990;-34.1708 -70.7444;Tablet;2025-07-19
4188;8;9990;-23.6509 -70.3975;Laptop;2025-08-20
4189;9;23990;-29.9027 -71.2519;Laptop;2025-09-21
4190;10;75990;-36.8201 -73.0444;Laptop;2025-10-22
4191;11;129990;-33.4380 -70.6512;Mobile;2025-11-23
4192;12;129990;-33.4172 -70.5981;Laptop;2025-12-24
4193;13;34990;-33.5120 -70.7585;Desktop;2025-01-25
4194;14;129990;-33.4365 -70.6480;Mobile;2025-02-26
4195;15;65990;-33.4150 -70.5968;Tablet;2025-03-27
4196;16;89990;-33.5095 -70.7612;Desktop;2025-04-28
4197;17;129990;-38.7365 -72.5898;Tablet;2025-05-01
4198;18;65990;-33.0485 -71.6100;Tablet;2025-06-02
4199;19;75990;-33.0238 -71.5525;Mobile;2025-07-03
4200;20;159990;-34.1715 -70.7438;Mobile;2025-08-04
4201;21;75990;-23.6498 -70.3962;Mobile;2025-09-05
4202;22;159990;-29.9035 -71.2508;Laptop;2025-10-06
4203;23;89990;-36.8215 -73.0435;Laptop;2025-11-07
4204;24;45990;-33.4378 -70.6495;Tablet;2025-12-08
4205;25;45990;-33.4165 -70.5990;Desktop;2025-01-09
4206;26;159990;-33.5112 -70.7598;Tablet;2025-02-10
4207;27;55990;-38.7370 -72.5915;Mobile;2025-03-11
4208;28;34990;-33.0478 -71.6135;Laptop;2025-04-12
4209;29;129990;-33.0252 -71.5509;Mobile;2025-05-13
4210;30;55990;-34.1720 -70.7425;Laptop;2025-06-14
4211;1;34990;-33.4372 -70.6506;Tablet;2025-07-15
4212;2;34990;-33.4160 -70.5975;Mobile;2025-08-16
4213;3;9990;-33.5100 -70.7600;Desktop;2025-09-17
4214;4;65990;-38.7359 -72.5904;Desktop;2025-10-18
4215;5;89990;-33.0472 -71.6127;Laptop;2025-11-19
4216;6;75990;-33.0245 -71.5518;Desktop;2025-12-20
4217;7;18990;-34.1708 -70.7444;Laptop;2025-01-21
4218;8;259990;-23.6509 -70.3975;Mobile;2025-02-22
4219;9;65990;-29.9027 -71.2519;Mobile;2025-03-23
4220;10;9990;-36.8201 -73.0444;Laptop;2025-04-24
4221;11;23990;-33.4380 -70.6512;Laptop;2025-05-25
4222;12;129990;-33.4172 -70.5981;Mobile;2025-06-26
4223;13;65990;-33.5120 -70.7585;Mobile;2025-07-27
4224;14;65990;-33.4365 -70.6480;Tablet;2025-08-28
4225;15;259990;-33.4150 -70.5968;Tablet;2025-09-01
4226;16;89990;-33.5095 -70.7612;Mobile;2025-10-02
4227;17;129990;-38.7365 -72.5898;Mobile;2025-11-03
4228;18;9990;-33.0485 -71.6100;Laptop;2025-12-04
4229;19;23990;-33.0238 -71.5525;Tablet;2025-01-05
4230;20;9990;-34.1715 -70.7438;Desktop;2025-02-06
4231;21;45990;-23.6498 -70.3962;Desktop;2025-03-07
4232;22;159990;-29.9035 -71.2508;Mobile;2025-04-08
4233;23;159990;-36.8215 -73.0435;Mobile;2025-05-09
4234;24;159990;-33.4378 -70.6495;Tablet;2025-06-10
4235;25;259990;-33.4165 -70.5990;Desktop;2025-07-11
4236;26;34990;-33.5112 -70.7598;Tablet;2025-08-12
4237;27;75990;-38.7370 -72.5915;Tablet;2025-09-13
4238;28;159990;-33.0478 -71.6135;Desktop;2025-10-14
4239;29;129990;-33.0252 -71.5509;Laptop;2025-11-15
4240;30;23990;-34.1720 -70.7425;Mobile;2025-12-16
4241;1;23990;-33.4372 -70.6506;Tablet;2025-01-17
4242;2;89990;-33.4160 -70.5975;Desktop;2025-02-18
4243;3;9990;-33.5100 -70.7600;Laptop;2025-03-19
4244;4;9990;-38.7359 -72.5904;Desktop;2025-04-20
4245;5;75990;-33.0472 -71.6127;Laptop;2025-05-21
4246;6;129990;-33.0245 -71.5518;Tablet;2025-06-22
4247;7;259990;-34.1708 -70.7444;Mobile;2025-07-23
4248;8;23990;-23.6509 -70.3975;Laptop;2025-08-24
4249;9;75990;-29.9027 -71.2519;Mobile;2025-09-25
4250;10;129990;-36.8201 -73.0444;Mobile;2025-10-26
4251;11;34990;-33.4380 -70.6512;Desktop;2025-11-27
4252;12;75990;-33.4172 -70.5981;Tablet;2025-12-28
4253;13;18990;-33.5120 -70.7585;Laptop;2025-01-01
4254;14;129990;-33.4365 -70.6480;Mobile;2025-02-02
4255;15;159990;-33.4150 -70.5968;Laptop;2025-03-03
4256;16;9990;-33.5095 -70.7612;Tablet;2025-04-04
4257;17;65990;-38.7365 -72.5898;Mobile;2025-05-05
4258;18;89990;-33.0485 -71.6100;Desktop;2025-06-06
4259;19;9990;-33.0238 -71.5525;Laptop;2025-07-07
4260;20;129990;-34.1715 -70.7438;Tablet;2025-08-08
4261;21;23990;-23.6498 -70.3962;Desktop;2025-09-09
4262;22;9990;-29.9035 -71.2508;Tablet;2025-10-10
4263;23;34990;-36.8215 -73.0435;Desktop;2025-11-11
4264;24;34990;-33.4378 -70.6495;Tablet;2025-12-12
4265;25;34990;-33.4165 -70.5990;Desktop;2025-01-13
4266;26;65990;-33.5112 -70.7598;Desktop;2025-02-14
4267;27;259990;-38.7370 -72.5915;Laptop;2025-03-15
4268;28;65990;-33.0478 -71.6135;Laptop;2025-04-16
4269;29;259990;-33.0252 -71.5509;Desktop;2025-05-17
4270;30;34990;-34.1720 -70.7425;Laptop;2025-06-18
4271;1;89990;-33.4372 -70.6506;Desktop;2025-07-19
4272;2;89990;-33.4160 -70.5975;Laptop;2025-08-20
4273;3;34990;-33.5100 -70.7600;Laptop;2025-09-21
4274;4;34990;-38.7359 -72.5904;Mobile;2025-10-22
4275;5;34990;-33.0472 -71.6127;Tablet;2025-11-23
4276;6;55990;-33.0245 -71.5518;Desktop;2025-12-24
4277;7;89990;-34.1708 -70.7444;Tablet;2025-01-25
4278;8;9990;-23.6509 -70.3975;Laptop;2025-02-26
4279;9;159990;-29.9027 -71.2519;Desktop;2025-03-27
4280;10;159990;-36.8201 -73.0444;Tablet;2025-04-28
4281;11;34990;-33.4380 -70.6512;Mobile;2025-05-01
4282;12;75990;-33.4172 -70.5981;Mobile;2025-06-02
4283;13;159990;-33.5120 -70.7585;Tablet;2025-07-03
4284;14;259990;-33.4365 -70.6480;Tablet;2025-08-04
4285;15;75990;-33.4150 -70.5968;Desktop;2025-09-05
4286;16;129990;-33.5095 -70.7612;Mobile;2025-10-06
4287;17;55990;-38.7365 -72.5898;Mobile;2025-11-07
4288;18;129990;-33.0485 -71.6100;Mobile;2025-12-08
4289;19;34990;-33.0238 -71.5525;Tablet;2025-01-09
4290;20;75990;-34.1715 -70.7438;Mobile;2025-02-10
4291;21;89990;-23.6498 -70.3962;Mobile;2025-03-11
4292;22;65990;-29.9035 -71.2508;Laptop;2025-04-12
4293;23;23990;-36.8215 -73.0435;Mobile;2025-05-13
4294;24;89990;-33.4378 -70.6495;Desktop;2025-06-14
4295;25;34990;-33.4165 -70.5990;Desktop;2025-07-15
4296;26;75990;-33.5112 -70.7598;Tablet;2025-08-16
4297;27;89990;-38.7370 -72.5915;Tablet;2025-09-17
4298;28;18990;-33.0478 -71.6135;Tablet;2025-10-18
4299;29;9990;-33.0252 -71.5509;Desktop;2025-11-19
4300;30;129990;-34.1720 -70.7425;Tablet;2025-12-20
4301;1;89990;-33.4372 -70.6506;Desktop;2025-01-21
4302;2;159990;-33.4160 -70.5975;Tablet;2025-02-22
4303;3;89990;-33.5100 -70.7600;Desktop;2025-03-23
4304;4;18990;-38.7359 -72.5904;Tablet;2025-04-24
4305;5;75990;-33.0472 -71.6127;Desktop;2025-05-25
4306;6;23990;-33.0245 -71.5518;Desktop;2025-06-26
4307;7;55990;-34.1708 -70.7444;Laptop;2025-07-27
4308;8;259990;-23.6509 -70.3975;Laptop;2025-08-28
4309;9;55990;-29.9027 -71.2519;Mobile;2025-09-01
4310;10;89990;-36.8201 -73.0444;Desktop;2025-10-02
4311;11;23990;-33.4380 -70.6512;Tablet;2025-11-03
4312;12;34990;-33.4172 -70.5981;Laptop;2025-12-04
4313;13;18990;-33.5120 -70.7585;Tablet;2025-01-05
4314;14;55990;-33.4365 -70.6480;Desktop;2025-02-06
4315;15;55990;-33.4150 -70.5968;Tablet;2025-03-07
4316;16;55990;-33.5095 -70.7612;Mobile;2025-04-08
4317;17;45990;-38.7365 -72.5898;Tablet;2025-05-09
4318;18;89990;-33.0485 -71.6100;Laptop;2025-06-10
4319;19;34990;-33.0238 -71.5525;Laptop;2025-07-11
4320;20;89990;-34.1715 -70.7438;Tablet;2025-08-12
4321;21;75990;-23.6498 -70.3962;Laptop;2025-09-13
4322;22;259990;-29.9035 -71.2508;Laptop;2025-10-14
4323;23;23990;-36.8215 -73.0435;Mobile;2025-11-15
4324;24;9990;-33.4378 -70.6495;Desktop;2025-12-16
4325;25;55990;-33.4165 -70.5990;Desktop;2025-01-17
4326;26;129990;-33.5112 -70.7598;Laptop;2025-02-18
4327;27;75990;-38.7370 -72.5915;Tablet;2025-03-19
4328;28;75990;-33.0478 -71.6135;Desktop;2025-04-20
4329;29;34990;-33.0252 -71.5509;Mobile;2025-05-21
4330;30;55990;-34.1720 -70.7425;Laptop;2025-06-22
4331;1;65990;-33.4372 -70.6506;Desktop;2025-07-23
4332;2;45990;-33.4160 -70.5975;Mobile;2025-08-24
4333;3;159990;-33.5100 -70.7600;Laptop;2025-09-25
4334;4;9990;-38.7359 -72.5904;Desktop;2025-10-26
4335;5;45990;-33.0472 -71.6127;Laptop;2025-11-27
4336;6;129990;-33.0245 -71.5518;Tablet;2025-12-28
4337;7;75990;-34.1708 -70.7444;Mobile;2025-01-01
4338;8;45990;-23.6509 -70.3975;Mobile;2025-02-02
4339;9;89990;-29.9027 -71.2519;Laptop;2025-03-03
4340;10;55990;-36.8201 -73.0444;Tablet;2025-04-04
4341;11;9990;-33.4380 -70.6512;Mobile;2025-05-05
4342;12;89990;-33.4172 -70.5981;Laptop;2025-06-06
4343;13;259990;-33.5120 -70.7585;Mobile;2025-07-07
4344;14;45990;-33.4365 -70.6480;Laptop;2025-08-08
4345;15;55990;-33.4150 -70.5968;Desktop;2025-09-09
4346;16;75990;-33.5095 -70.7612;Desktop;2025-10-10
4347;17;89990;-38.7365 -72.5898;Tablet;2025-11-11
4348;18;89990;-33.0485 -71.6100;Desktop;2025-12-12
4349;19;75990;-33.0238 -71.5525;Laptop;2025-01-13
4350;20;129990;-34.1715 -70.7438;Tablet;2025-02-14
4351;21;34990;-23.6498 -70.3962;Tablet;2025-03-15
4352;22;9990;-29.9035 -71.2508;Mobile;2025-04-16
4353;23;45990;-36.8215 -73.0435;Mobile;2025-05-17
4354;24;18990;-33.4378 -70.6495;Tablet;2025-06-18
4355;25;23990;-33.4165 -70.5990;Laptop;2025-07-19
4356;26;89990;-33.5112 -70.7598;Laptop;2025-08-20
4357;27;75990;-38.7370 -72.5915;Mobile;2025-09-21
4358;28;55990;-33.0478 -71.6135;Tablet;2025-10-22
4359;29;89990;-33.0252 -71.5509;Tablet;2025-11-23
4360;30;23990;-34.1720 -70.7425;Tablet;2025-12-24
4361;1;45990;-33.4372 -70.6506;Laptop;2025-01-25
4362;2;259990;-33.4160 -70.5975;Laptop;2025-02-26
4363;3;45990;-33.5100 -70.7600;Tablet;2025-03-27
4364;4;9990;-38.7359 -72.5904;Desktop;2025-04-28
4365;5;45990;-33.0472 -71.6127;Laptop;2025-05-01
4366;6;259990;-33.0245 -71.5518;Tablet;2025-06-02
4367;7;55990;-34.1708 -70.7444;Tablet;2025-07-03
4368;8;65990;-23.6509 -70.3975;Desktop;2025-08-04
4369;9;45990;-29.9027 -71.2519;Desktop;2025-09-05
4370;10;75990;-36.8201 -73.0444;Mobile;2025-10-06
4371;11;159990;-33.4380 -70.6512;Desktop;2025-11-07
4372;12;259990;-33.4172 -70.5981;Desktop;2025-12-08
4373;13;89990;-33.5120 -70.7585;Desktop;2025-01-09
4374;14;259990;-33.4365 -70.6480;Desktop;2025-02-10
4375;15;23990;-33.4150 -70.5968;Mobile;2025-03-11
4376;16;9990;-33.5095 -70.7612;Tablet;2025-04-12
4377;17;9990;-38.7365 -72.5898;Tablet;2025-05-13
4378;18;23990;-33.0485 -71.6100;Desktop;2025-06-14
4379;19;129990;-33.0238 -71.5525;Laptop;2025-07-15
4380;20;34990;-34.1715 -70.7438;Tablet;2025-08-16
4381;21;75990;-23.6498 -70.3962;Mobile;2025-09-17
4382;22;159990;-29.9035 -71.2508;Mobile;2025-10-18
4383;23;9990;-36.8215 -73.0435;Mobile;2025-11-19
4384;24;129990;-33.4378 -70.6495;Tablet;2025-12-20
4385;25;129990;-33.4165 -70.5990;Tablet;2025-01-21
4386;26;89990;-33.5112 -70.7598;Mobile;2025-02-22
4387;27;65990;-38.7370 -72.5915;Tablet;2025-03-23
4388;28;259990;-33.0478 -71.6135;Mobile;2025-04-24
4389;29;55990;-33.0252 -71.5509;Mobile;2025-05-25
4390;30;159990;-34.1720 -70.7425;Desktop;2025-06-26
4391;1;55990;-33.4372 -70.6506;Mobile;2025-07-27
4392;2;259990;-33.4160 -70.5975;Tablet;2025-08-28
4393;3;34990;-33.5100 -70.7600;Laptop;2025-09-01
4394;4;159990;-38.7359 -72.5904;Tablet;2025-10-02
4395;5;18990;-33.0472 -71.6127;Laptop;2025-11-03
4396;6;259990;-33.0245 -71.5518;Tablet;2025-12-04
4397;7;65990;-34.1708 -70.7444;Mobile;2025-01-05
4398;8;259990;-23.6509 -70.3975;Mobile;2025-02-06
4399;9;159990;-29.9027 -71.2519;Mobile;2025-03-07
4400;10;89990;-36.8201 -73.0444;Tablet;2025-04-08
4401;11;34990;-33.4380 -70.6512;Tablet;2025-05-09
4402;12;259990;-33.4172 -70.5981;Desktop;2025-06-10
4403;13;259990;-33.5120 -70.7585;Tablet;2025-07-11
4404;14;159990;-33.4365 -70.6480;Tablet;2025-08-12
4405;15;129990;-33.4150 -70.5968;Desktop;2025-09-13
4406;16;9990;-33.5095 -70.7612;Tablet;2025-10-14
4407;17;159990;-38.7365 -72.5898;Laptop;2025-11-15
4408;18;89990;-33.0485 -71.6100;Tablet;2025-12-16
4409;19;45990;-33.0238 -71.5525;Desktop;2025-01-17
4410;20;65990;-34.1715 -70.7438;Desktop;2025-02-18
4411;21;23990;-23.6498 -70.3962;Mobile;2025-03-19
4412;22;129990;-29.9035 -71.2508;Desktop;2025-04-20
4413;23;55990;-36.8215 -73.0435;Desktop;2025-05-21
4414;24;75990;-33.4378 -70.6495;Mobile;2025-06-22
4415;25;89990;-33.4165 -70.5990;Desktop;2025-07-23
4416;26;89990;-33.5112 -70.7598;Desktop;2025-08-24
4417;27;159990;-38.7370 -72.5915;Mobile;2025-09-25
4418;28;129990;-33.0478 -71.6135;Desktop;2025-10-26
4419;29;45990;-33.0252 -71.5509;Desktop;2025-11-27
4420;30;75990;-34.1720 -70.7425;Desktop;2025-12-28
4421;1;129990;-33.4372 -70.6506;Tablet;2025-01-01
4422;2;159990;-33.4160 -70.5975;Laptop;2025-02-02
4423;3;89990;-33.5100 -70.7600;Desktop;2025-03-03
4424;4;75990;-38.7359 -72.5904;Desktop;2025-04-04
4425;5;45990;-33.0472 -71.6127;Mobile;2025-05-05
4426;6;18990;-33.0245 -71.5518;Desktop;2025-06-06
4427;7;45990;-34.1708 -70.7444;Laptop;2025-07-07
4428;8;75990;-23.6509 -70.3975;Desktop;2025-08-08
4429;9;9990;-29.9027 -71.2519;Mobile;2025-09-09
4430;10;129990;-36.8201 -73.0444;Laptop;2025-10-10
4431;11;159990;-33.4380 -70.6512;Tablet;2025-11-11
4432;12;259990;-33.4172 -70.5981;Mobile;2025-12-12
4433;13;23990;-33.5120 -70.7585;Laptop;2025-01-13
4434;14;55990;-33.4365 -70.6480;Tablet;2025-02-14
